source_id,target_id,target_title,resolution,relationship
Concepts/Distribution shift,Benchmarks/Gearbox component distribution-shift inspection benchmark,Gearbox component distribution-shift inspection benchmark,resolved,wikilink
Concepts/Distribution shift,Concepts/Domain gap,Domain gap,resolved,wikilink
Concepts/Distribution shift,Concepts/Industrial visual inspection,Industrial visual inspection,resolved,wikilink
Concepts/Distribution shift,Domains/Emerging Domains/Remanufacturing inspection,Remanufacturing inspection,resolved,wikilink
Concepts/Distribution shift,Papers/Dataset/2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,resolved,wikilink
Concepts/Domain gap,Concepts/Distribution shift,Distribution shift,resolved,wikilink
Concepts/Domain gap,Learning Paradigms/Transfer Learning/Transfer learning,Transfer learning,resolved,wikilink
Concepts/Domain gap,Methods/Synthetic Data Generation/Hybrid Generative-Procedural Synthesis/Hybrid generative-procedural synthesis,Hybrid generative-procedural synthesis,resolved,wikilink
Concepts/Domain gap,Methods/Synthetic Data Generation/Procedural and Simulation-Based Synthesis/Domain randomization,Domain randomization,resolved,wikilink
Concepts/Domain gap,Methods/Synthetic Data Generation/Procedural and Simulation-Based Synthesis/Simulation-based data augmentation,Simulation-based data augmentation,resolved,wikilink
Concepts/Domain gap,Methods/Synthetic Data Generation/Procedural and Simulation-Based Synthesis/Structured domain randomization,Structured domain randomization,resolved,wikilink
Concepts/Domain gap,Methods/Synthetic Data Generation/Synthetic data generation,Synthetic data generation,resolved,wikilink
Concepts/Domain gap,Papers/Dataset/2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,2025 - A Dataset and Baseline for Deep Learning-Based Visual Quality Inspection in Remanufacturing,resolved,wikilink
Concepts/Domain gap,Papers/Research/2017 - Learning from Simulated and Unsupervised Images through Adversarial Training,2017 - Learning from Simulated and Unsupervised Images through Adversarial Training,resolved,wikilink
Concepts/Domain gap,Papers/Research/2018 - Object Detection using Domain Randomization and Generative Adversarial Refinement of Synthetic Images,2018 - Object Detection using Domain Randomization and Generative Adversarial Refinement of Synthetic Images,resolved,wikilink
Concepts/Domain gap,Papers/Research/2018 - RenderGAN Generating Realistic Labeled Data,2018 - RenderGAN Generating Realistic Labeled Data,resolved,wikilink
Concepts/Domain gap,Papers/Research/2019 - Structured Domain Randomization Bridging the Reality Gap by Context-Aware Synthetic Data,2019 - Structured Domain Randomization Bridging the Reality Gap by Context-Aware Synthetic Data,resolved,wikilink
Concepts/Domain gap,Papers/Research/2021 - Defect Detection in CT Scans of Cast Aluminum Parts,2021 - Defect Detection in CT Scans of Cast Aluminum Parts,resolved,wikilink
Concepts/Domain gap,Papers/Research/2021 - Simulation-Based Data Augmentation for Quality Inspection of Structural Adhesive,2021 - Simulation-Based Data Augmentation for Quality Inspection of Structural Adhesive,resolved,wikilink
Concepts/Domain gap,Papers/Research/2022 - Procedural Synthetic Training Data Generation for AI-Based Defect Detection,2022 - Procedural Synthetic Training Data Generation for AI-Based Defect Detection,resolved,wikilink
Concepts/Domain gap,Papers/Research/2023 - Collaborative Discrepancy Optimization for Reliable Image Anomaly Localization,2023 - Collaborative Discrepancy Optimization for Reliable Image Anomaly Localization,resolved,wikilink
Concepts/Emerging Concepts/Emerging Concepts,Concepts/Emerging Concepts/Logical anomalies,Logical anomalies,resolved,wikilink
Concepts/Emerging Concepts/Emerging Concepts,Concepts/Emerging Concepts/Structural anomalies,Structural anomalies,resolved,wikilink
Concepts/Emerging Concepts/Logical anomalies,Concepts/Emerging Concepts/Structural anomalies,Structural anomalies,resolved,wikilink
Concepts/Emerging Concepts/Logical anomalies,Datasets/Public/MVTec LOCO AD,MVTec LOCO AD,resolved,wikilink
Concepts/Emerging Concepts/Logical anomalies,Methods/Emerging Methods/Global Context Anomaly Detection,Global Context Anomaly Detection,resolved,wikilink
Concepts/Emerging Concepts/Logical anomalies,Metrics/Emerging Metrics/Area Under Saturated Per-Region Overlap,Area Under Saturated Per-Region Overlap,resolved,wikilink
Concepts/Emerging Concepts/Logical anomalies,Papers/Dataset/2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization,2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization,resolved,wikilink
Concepts/Emerging Concepts/Logical anomalies,Tasks/Defect segmentation,Defect segmentation,resolved,wikilink
Concepts/Emerging Concepts/Logical anomalies,Tasks/Industrial anomaly detection,Industrial anomaly detection,resolved,wikilink
Concepts/Emerging Concepts/Structural anomalies,Concepts/Emerging Concepts/Logical anomalies,Logical anomalies,resolved,wikilink
Concepts/Emerging Concepts/Structural anomalies,Concepts/Industrial visual inspection,Industrial visual inspection,resolved,wikilink
Concepts/Emerging Concepts/Structural anomalies,Concepts/Surface defect detection,Surface defect detection,resolved,wikilink
Concepts/Emerging Concepts/Structural anomalies,Datasets/Public/MVTec LOCO AD,MVTec LOCO AD,resolved,wikilink
Concepts/Emerging Concepts/Structural anomalies,Papers/Dataset/2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization,2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization,resolved,wikilink
Concepts/Emerging Concepts/Structural anomalies,Tasks/Defect segmentation,Defect segmentation,resolved,wikilink
Concepts/Industrial visual inspection,Concepts/Distribution shift,Distribution shift,resolved,wikilink
